Gemeinde,Kanton,Einwohner,Fläche
Birmensdorf (ZH),ZH,7380,11.42
Birmenstorf (AG),AG,3066,7.8
Birr,AG,4847,5.05
Birrhard,AG,969,3
Birrwil,AG,1414,3.41
Birsfelden,BL,10445,2.51
Birwinken,TG,1428,12.29
Bischofszell,TG,6417,11.58
Bissone,TI,930,1.85
Bister,VS,37,5.81
Bitsch,VS,1142,5.79
Blatten,VS,300,90.51
Blauen,BL,707,7.12
Bleienbach,BE,779,5.69
Blenio,TI,1747,202
Blonay – Saint-Légier,VD,12464,31.24
Blumenstein,BE,1308,15.52
Böckten,BL,857,2.28
Boécourt,JU,961,12.35
Bofflens,VD,200,4.21
Bogis-Bossey,VD,991,2.45
Bois-d’Amont,FR,2422,12.28
Bolken,SO,577,2.12
Bolligen,BE,6374,16.57
Boltigen,BE,1272,77.07
Bonaduz,GR,3565,14.4
Boncourt,JU,1170,9.02
Bönigen,BE,2786,15.08
Boningen,SO,813,2.76
Boniswil,AG,1770,2.41
Bonstetten,ZH,5712,7.43
Bonvillars,VD,517,7.53
Boppelsen,ZH,1425,3.96
Borex,VD,1146,1.99
Bosco/Gurin,TI,47,22
Bösingen,FR,3360,14.32
Bossonnens,FR,1593,4.12
Boswil,AG,3114,11.78
Bottens,VD,1354,6.88
Bottenwil,AG,863,5.1
Botterens,FR,759,4.27
Bottighofen,TG,2696,2.42
Bottmingen,BL,7014,2.99
Böttstein,AG,4326,7.43
Boudry,NE,6317,16.76
Bougy-Villars,VD,514,1.77
Boulens,VD,368,3.42
Bourg-en-Lavaux,VD,5464,9.64
Bourg-Saint-Pierre,VS,222,89.8
Bournens,VD,531,3.91
Bourrignon,JU,263,13.55
Boussens,VD,1006,3.16
Bovernier,VS,952,13.07
Bowil,BE,1293,14.68
Bözberg,AG,1696,15.5
Böztal,AG,2940,22.31
Braunau,TG,904,9.17
Bregaglia,GR,1591,251.42
Breggia,TI,1889,25.48
Breil/Brigels,GR,1706,96.58
Breitenbach,SO,4366,6.8
Bremblens,VD,614,2.91
Bremgarten (AG),AG,8871,11.36
Bremgarten bei Bern,BE,4424,1.9
Brenzikofen,BE,534,2.19
Bretigny-sur-Morrens,VD,899,2.87
Bretonnières,VD,261,5.45
Bretzwil,BL,736,7.33
Brienz (BE),BE,3256,48.07
Brienzwiler,BE,514,17.63
Brig-Glis,VS,14085,37.67
Brione sopra Minusio,TI,436,3.82
Brislach,BL,1772,9.42
Brissago,TI,1619,17.89
Brittnau,AG,4339,13.67
Broc,FR,2848,10.03
Brot-Plamboz,NE,297,16.09
Brugg,AG,15234,8.25
Brügg,BE,4650,5
Brunegg,AG,920,1.55
Brünisried,FR,724,3.25
Brusino Arsizio,TI,474,4.12
Brusio,GR,1099,46.3
Brüttelen,BE,641,6.61
Brütten,ZH,2247,6.6
Bubendorf,BL,4534,10.8
Bubikon,ZH,7661,11.61
Buch (SH),SH,336,3.8
Buch am Irchel,ZH,1066,10.21
Buchberg,SH,885,5.86
Buchegg,SO,2964,25.65
Buchholterberg,BE,1552,15.33
Buchillon,VD,686,2.12
Buchrain,LU,6807,4.8
Buchs (AG),AG,8491,5.32
Buchs (SG),SG,14038,15.95
Buchs (ZH),ZH,6808,5.84
Buckten,BL,715,2
