Gemeinde,Kanton,Einwohner,Fläche
Hohentannen,TG,655,8.01
Holderbank (AG),AG,1570,2.33
Holderbank (SO),SO,779,7.76
Hölstein,BL,2643,6.03
Holziken,AG,1763,2.86
Homberg,BE,500,6.51
Hombrechtikon,ZH,9176,12.19
Homburg,TG,1573,24.13
Horgen,ZH,24549,30.82
Höri,ZH,3564,4.79
Horn,TG,3165,1.72
Horrenbach-Buchen,BE,224,20.4
Horriwil,SO,943,2.64
Horw,LU,15817,12.86
Hospental,UR,180,35.17
Hubersdorf,SO,719,1.35
Hundwil,AR,965,24.08
Hünenberg,ZG,8972,18.41
Hüniken,SO,161,1.02
Hüntwangen,ZH,1094,4.91
Hunzenschwil,AG,4382,3.26
Hüttikon,ZH,957,1.59
Hüttlingen,TG,906,11.6
Huttwil,BE,5135,17.24
Hüttwilen,TG,1783,17.66
Icogne,VS,640,24.83
Iffwil,BE,445,5.06
Ilanz/Glion,GR,5067,133.48
Illgau,SZ,822,10.96
Illnau-Effretikon,ZH,17756,32.91
Inden,VS,130,9.73
Ingenbohl,SZ,9548,13.4
Inkwil,BE,676,3.38
Innerthal,SZ,191,50.14
Innertkirchen,BE,1079,236.59
Ins,BE,3777,23.87
Interlaken,BE,6123,4.27
Inwil,LU,2924,10.32
Ipsach,BE,3869,1.9
Iseltwald,BE,401,21.91
Isenthal,UR,459,60.97
Isérables,VS,804,15.26
Islisberg,AG,692,1.66
Isone,TI,404,12.83
Itingen,BL,2473,3.13
Ittigen,BE,11546,4.2
Jaberg,BE,305,1.31
Jaun,FR,657,55.68
Jegenstorf,BE,5872,13.49
Jenaz,GR,1164,25.91
Jenins,GR,964,10.54
Jens,BE,660,4.58
Jonen,AG,2347,5.7
Jongny,VD,1928,2.16
Jonschwil,SG,3992,10.99
Jorat-Menthue,VD,1574,17.65
Jorat-Mézières,VD,3189,11.09
Jouxtens-Mézery,VD,1478,1.93
Juriens,VD,348,9.35
Jussy,GE,1223,11.35
Kaiseraugst,AG,5824,4.9
Kaisten,AG,2946,18.09
Kallern,AG,422,2.68
Kallnach,BE,2235,17.98
Kaltbrunn,SG,5099,18.64
Kammersrohr,SO,32,0.95
Kandergrund,BE,810,32.09
Kandersteg,BE,1299,134.3
Känerkinden,BL,532,1.48
Kappel (SO),SO,3562,5.1
Kappel am Albis,ZH,1382,7.92
Kappelen,BE,1409,10.97
Kaufdorf,BE,1101,2.06
Kehrsatz,BE,4670,4.44
Kemmental,TG,2837,25.04
Kernenried,BE,534,3.33
Kerns,OW,6514,92.58
Kerzers,FR,5466,12.28
Kesswil,TG,1005,4.47
Kestenholz,SO,1884,8.59
Kienberg,SO,526,8.53
Kiesen,BE,990,4.69
Kilchberg (BL),BL,182,1.59
Kilchberg (ZH),ZH,9483,2.58
Killwangen,AG,2304,2.43
Kippel,VS,329,11.68
Kirchberg (BE),BE,5922,9.05
Kirchberg (SG),SG,9791,42.54
Kirchdorf (BE),BE,1853,14.62
Kirchleerau,AG,938,4.36
Kirchlindach,BE,3341,11.96
Kleinandelfingen,ZH,2238,10.29
Kleinbösingen,FR,705,3.02
Kleinlützel,SO,1197,16.32
Klingnau,AG,3700,6.71
Klosters,GR,4478,219.8
Kloten,ZH,21737,19.17
Knonau,ZH,2466,6.47
Knutwil,LU,2516,9.74
Koblenz,AG,1821,4.08
Kölliken,AG,5106,8.89
Köniz,BE,43508,51.01
Konolfingen,BE,5485,12.77
Koppigen,BE,2281,6.93
Kradolf-Schönenberg,TG,3932,10.95
Krattigen,BE,1130,6
Krauchthal,BE,2381,19.44
Kreuzlingen,TG,23407,11.51
Kriechenwil,BE,437,4.77
Kriegstetten,SO,3181,1.14
Kriens,LU,30008,27.3
Küblis,GR,910,8.14
Künten,AG,1956,4.89
Küsnacht (ZH),ZH,15168,12.36
Küssnacht (SZ),SZ,14148,29.38
Küttigen,AG,6997,11.9
L’Abbaye,VD,1541,31.87
L’Abergement,VD,270,5.79
L’Isle,VD,1094,16.22
La Baroche,JU,1135,31.07
La Brévine,NE,624,41.81
La Brillaz,FR,2208,10.3
La Chaux (Cossonay),VD,432,6.74
La Chaux-de-Fonds,NE,37600,55.71
La Chaux-du-Milieu,NE,496,17.31
La Côte-aux-Fées,NE,473,12.83
La Ferrière,BE,548,14.16
La Grande-Béroche,NE,9229,42.21
La Neuveville,BE,3804,6.78
La Praz,VD,207,5.12
La Punt Chamues-ch,GR,750,63.28
La Rippe,VD,1196,16.59
La Roche,FR,1959,24.06
La Sagne,NE,1075,25.55
La Sarraz,VD,2615,7.7
La Sonnaz,FR,1458,6.96
La Tour-de-Peilz,VD,12812,3.26
La Verrerie,FR,1350,13.43
Laax,GR,2102,31.71
Lachen,SZ,9529,2.44
Laconnex,GE,704,3.83
Lajoux (JU),JU,720,12.39
Lalden,VS,760,1.3
Lamone,TI,1757,1.86
Lampenberg,BL,581,4.01
Lancy,GE,37259,4.77
Landiswil,BE,623,10.26
Landquart,GR,9244,18.86
Langenbruck,BL,975,15.66
Langendorf,SO,3883,1.95
Langenthal,BE,16141,21.13
Langnau am Albis,ZH,8224,8.67
Langnau im Emmental,BE,9574,48.36
Langrickenbach,TG,1503,10.83
Lantsch/Lenz,GR,518,21.81
Laténa,NE,11718,26.06
Lauenen,BE,865,58.49
Lauerz,SZ,1149,9.18
Läufelfingen,BL,1415,8.16
Laufen,BL,6054,11.4
Laufen-Uhwiesen,ZH,1828,6.28
Laufenburg,AG,3858,14.47
Laupen,BE,3285,4.14
Laupersdorf,SO,1880,15.5
Lauperswil,BE,2712,21.19
Lausanne,VD,144873,41.37
Lausen,BL,5886,5.57
Lauterbrunnen,BE,2331,164.66
Lauwil,BL,324,7.3
Lavertezzo,TI,1253,0.89
Lavey-Morcles,VD,1015,14.2
Lavigny,VD,1099,4
Lavizzara,TI,498,187.53
Lax,VS,339,5.42
Le Bémont (JU),JU,308,11.68
Le Cerneux-Péquignot,NE,310,15.7
Le Châtelard,FR,364,7.49
Le Chenit,VD,4753,99.19
Le Flon,FR,1211,9.57
Le Grand-Saconnex,GE,13062,4.38
Le Landeron,NE,4652,10.3
Le Lieu,VD,918,32.54
Le Locle,NE,10907,34.66
Le Mont-sur-Lausanne,VD,9531,9.8
Le Mouret,FR,3354,18.56
Le Noirmont,JU,1934,20.39
Le Pâquier (FR),FR,1386,4.5
Le Vaud,VD,1367,3.11
Leibstadt,AG,1605,6.4
Leimbach (AG),AG,543,1.15
Leissigen,BE,1205,10.38
Lema,TI,2662,18.56
Lengnau (AG),AG,2955,12.67
Lengnau (BE),BE,5798,7.41
Lengwil,TG,1796,8.89
Lenk,BE,2322,122.96
Lens,VS,4570,13.98
Lenzburg,AG,11314,11.31
Les Bois,JU,1244,24.71
Les Breuleux,JU,1627,14.87
Les Clées,VD,193,7.04
Les Enfers,JU,151,7.12
Les Genevez (JU),JU,516,13.63
Les Montets,FR,1572,10.29
Les Planchettes,NE,200,11.73
Les Ponts-de-Martel,NE,1231,18.17
Les Verrières,NE,658,28.87
Leuggern,AG,2444,13.76
Leuk,VS,4340,55.15
Leukerbad,VS,1426,67.32
Leutwil,AG,755,3.75
Leuzigen,BE,1361,10.28
Leysin,VD,3659,18.57
Leytron,VS,3529,26.82
Lichtensteig,SG,2141,2.82
Liddes,VS,770,58.65
Liedertswil,BL,156,1.94
Liesberg,BL,1105,12.46
Liestal,BL,16034,18.18
Ligerz,BE,525,1.79
Lignerolle,VD,461,10.64
Lignières,NE,1061,12.52
Lindau,ZH,5871,11.99
Linden,BE,1275,13.23
Linescio,TI,41,6.66
Locarno,TI,16374,18.91
Lohn (SH),SH,760,4.87
Lohn-Ammannsegg,SO,2947,4.48
Löhningen,SH,1642,6.83
Lommis,TG,1331,8.61
Lommiswil,SO,1618,5.76
Lonay,VD,2734,3.72
Longirod,VD,556,9.45
Losone,TI,6727,9.26
Lostallo,GR,866,50.87
Lostorf,SO,4129,13.25
Lotzwil,BE,2779,6.22
Lovatens,VD,146,3.47
Loveresse,BE,358,4.69
Lucens,VD,4736,19.28
Lufingen,ZH,2840,5.18
Lugano,TI,63629,75.86
Luins,VD,633,2.67
Lully (FR),FR,1226,5.52
Lully (VD),VD,836,2.05
Lumino,TI,1684,10.1
Lumnezia,GR,2075,165.47
Lungern,OW,2072,46.47
Lupfig,AG,3401,8.45
Lupsingen,BL,1565,3.11
Lüscherz,BE,572,5.42
Lussery-Villars,VD,470,3.74
Lüsslingen-Nennigkofen,SO,1144,7.81
Lussy-sur-Morges,VD,719,2.34
Luterbach,SO,3724,4.52
Lüterkofen-Ichertswil,SO,902,4.43
Luthern,LU,1240,37.76
Lütisburg,SG,1646,14.1
Lutry,VD,10751,8.46
Lütschental,BE,239,12.28
Lützelflüh,BE,4372,26.87
Lutzenberg,AR,1321,2.25
Luzein,GR,1689,83.88
Luzern,LU,86234,29.11
Lyss,BE,16558,14.83
Lyssach,BE,1484,6.05
Madiswil,BE,3330,23.17
Madulain,GR,196,16.29
Magden,AG,3888,11.02
Mägenwil,AG,2232,3.48
Maggia,TI,2674,111.16
Magliaso,TI,1622,1.1
Maienfeld,GR,3266,32.33
Maisprach,BL,956,5.08
Malans,GR,2529,11.4
Malters,LU,7868,28.57
Mammern,TG,704,5.45
Mandach,AG,328,5.54
Männedorf,ZH,11767,4.77
Manno,TI,1373,2.37
Maracon,VD,569,4.38
Marbach (SG),SG,2169,4.38
Marchissy,VD,508,11.98
Marly,FR,9242,7.72
Marsens,FR,2130,7.84
Märstetten,TG,3008,9.96
Marthalen,ZH,1990,14.13
Martigny,VS,22247,32.59
Martigny-Combe,VS,2363,37.41
Maschwanden,ZH,677,4.69
Masein,GR,531,4.2
Massagno,TI,6799,0.74
Massongex,VS,2126,6.64
Massonnens,FR,596,4.29
Mathod,VD,725,6.59
Matran,FR,1906,2.91
Matten bei Interlaken,BE,4201,5.91
Mattstetten,BE,599,3.79
Matzendorf,SO,1409,11.27
Matzingen,TG,3167,7.68
Mauborget,VD,145,5.52
Mauensee,LU,1510,7.22
Maur,ZH,10884,14.77
Mauraz,VD,67,0.5
Medel (Lucmagn),GR,328,136.22
Meggen,LU,7795,7.27
Meienried,BE,57,0.65
Meierskappel,LU,1595,6.79
Meikirch,BE,2600,10.23
Meilen,ZH,14848,11.94
Meinier,GE,2069,6.95
Meinisberg,BE,1453,4.39
Meiringen,BE,4814,40.63
Meisterschwanden,AG,3310,4.25
Melchnau,BE,1518,10.28
Melide,TI,1785,1.66
Mellikon,AG,224,2.7
Mellingen,AG,6319,4.87
Mels,SG,9581,139.1
Meltingen,SO,631,5.76
Mendrisio,TI,15085,31.77
Menziken,AG,8672,7.32
Menzingen,ZG,4700,27.51
Menznau,LU,3149,30.34
Merenschwand,AG,3893,13.51
Mergoscia,TI,201,12.16
Merishausen,SH,905,17.56
Mervelier,JU,526,9.74
Merzligen,BE,403,2.3
Mesocco,GR,1414,164.77
Messen,SO,1498,11.89
Mettauertal,AG,2176,21.59
Mettembert,JU,112,2.34
Mettmenstetten,ZH,5763,13.03
Metzerlen-Mariastein,SO,988,8.48
Mex (VD),VD,807,2.83
Meyriez,FR,569,0.34
Meyrin,GE,27059,9.94
Mézières (FR),FR,1163,8.93
Mezzovico-Vira,TI,1389,11.13
Mies,VD,2180,3.46
Milvignes,NE,9308,8.79
Minusio,TI,7321,5.86
Mirchel,BE,561,2.34
Misery-Courtion,FR,2404,11.35
Missy,VD,383,3.11
Möhlin,AG,11389,18.8
Moiry,VD,300,6.66
Mollens (VD),VD,324,10.99
Molondin,VD,269,5.49
Mönchaltorf,ZH,4310,7.59
Mont-la-Ville,VD,496,19.79
Mont-Noble,VS,1187,43.44
Mont-sur-Rolle,VD,2752,3.86
Mont-Tramelan,BE,111,4.64
Mont-Vully,FR,4561,17.52
Montagny (FR),FR,3037,17.53
Montagny-près-Yverdon,VD,780,3.52
Montanaire,VD,2860,33.5
Montcherand,VD,489,3.07
Monteceneri,TI,4729,36.08
Montfaucon,JU,564,18.25
Mönthal,AG,393,3.94
Monthey,VS,19074,28.7
Montilliez,VD,1872,11.86
Montpreveyres,VD,656,4.12
Montreux,VD,26955,33.41
Montricher,VD,943,26.02
Moosleerau,AG,955,3.81
Moosseedorf,BE,4155,6.38
Morbio Inferiore,TI,4412,2.26
Morcote,TI,713,2.79
Mörel-Filet,VS,759,8.55
Morges,VD,17701,3.84
Mörigen,BE,881,2.16
Möriken-Wildegg,AG,4987,6.61
Morlon,FR,771,2.64
Morrens (VD),VD,1155,3.67
Morschach,SZ,1378,20.84
Mörschwil,SG,3671,9.84
Mosnang,SG,2981,50.51
Moudon,VD,6646,15.65
Moutier,JU,7256,19.61
Movelier,JU,414,8.08
Muhen,AG,4090,7.03
Mühlau,AG,1347,5.52
Mühleberg,BE,3097,26.26
Müllheim,TG,3339,8.74
Mülligen,AG,1088,3.16
Mümliswil-Ramiswil,SO,2481,35.48
Mumpf,AG,1563,3.14
Münchenbuchsee,BE,10696,11.67
Münchenstein,BL,12457,7.19
Münchenwiler,BE,588,2.48
Münchwilen (AG),AG,1077,2.46
Münchwilen (TG),TG,5976,7.81
Münsingen,BE,13049,15.77
Münsterlingen,TG,3723,5.45
Muntelier,FR,982,1.11
Muntogna da Schons,GR,368,53.59
Müntschemier,BE,1652,4.87
Muolen,SG,1265,10.33
Muotathal,SZ,3583,172.14
Muralto,TI,2572,0.59
Murgenthal,AG,3128,18.62
Muri (AG),AG,8712,12.34
Muri bei Bern,BE,13712,7.63
Muriaux,JU,518,16.88
Murten,FR,9552,36.41
Mutrux,VD,145,3.23
Muttenz,BL,18120,16.65
Muzzano,TI,805,1.55
Naters,VS,10674,147.22
Nebikon,LU,2941,3.73
Neckertal,SG,6420,81.84
Neerach,ZH,3328,6.04
Neftenbach,ZH,5765,15.07
Neggio,TI,328,0.89
Nendaz,VS,7314,85.93
Nenzlingen,BL,468,3.66
Nesslau,SG,3890,92.7
Neuchâtel,NE,45309,30.09
Neuendorf,SO,2396,7.14
Neuenegg,BE,5730,21.83
Neuenhof,AG,9212,5.38
Neuenkirch,LU,7229,25.48
Neuhausen am Rheinfall,SH,11834,8
Neuheim,ZG,2527,7.93
Neunforn,TG,1112,11.36
Neunkirch,SH,2660,17.92
Neyruz,FR,2869,5.53
Nidau,BE,7053,1.52
Niederbipp,BE,5557,19.77
Niederbuchsiten,SO,1341,5.49
Niederbüren,SG,1529,15.84
Niederdorf,BL,1783,4.41
Niedergesteln,VS,749,17.62
Niederglatt,ZH,5507,3.6
Niedergösgen,SO,4255,4.32
Niederhasli,ZH,9648,11.3
Niederhelfenschwil,SG,3290,16.37
Niederhünigen,BE,710,5.42
Niederlenz,AG,4958,3.31
Niedermuhlern,BE,521,7.26
Niederönz,BE,1803,2.79
Niederried bei Interlaken,BE,366,4.15
Niederrohrdorf,AG,4695,3.33
Niederweningen,ZH,3349,6.85
Niederwil (AG),AG,3023,6.15
Noble-Contrée,VS,4693,6.5
Nods,BE,768,26.61
Nottwil,LU,4120,10.33
Novalles,VD,106,2.06
Novazzano,TI,2340,5.23
Noville,VD,1215,10.37
Nuglar-St. Pantaleon,SO,1553,6.34
Nunningen,SO,1983,10.31
Nürensdorf,ZH,5862,10.14
Nusshof,BL,277,1.72
Nuvilly,FR,498,3.98
Nyon,VD,23351,6.8
Oberägeri,ZG,6578,30.04
Oberbalm,BE,865,12.39
Oberbipp,BE,1955,8.45
Oberbuchsiten,SO,2406,9.39
Oberbüren,SG,4726,17.73
Oberburg,BE,2990,14.14
Oberdiessbach,BE,3723,16.47
Oberdorf (BL),BL,2577,6.21
Oberdorf (NW),NW,3099,16.2
Oberdorf (SO),SO,1818,11.91
Oberegg,AI,1936,14.61
Oberembrach,ZH,1130,10.26
Oberems,VS,140,50.26
Oberengstringen,ZH,6914,2.15
Oberentfelden,AG,8946,7.16
Obergerlafingen,SO,1266,1.51
Oberglatt,ZH,7772,8.25
Obergoms,VS,663,155.98
Obergösgen,SO,2490,3.63
Oberhallau,SH,456,6.05
Oberhof,AG,584,8.2
Oberhofen am Thunersee,BE,2523,2.71
Oberhünigen,BE,333,6.02
Oberiberg,SZ,916,33.17
Oberkirch,LU,5106,9.1
Oberkulm,AG,3023,9.41
Oberlangenegg,BE,473,9.16
Oberlunkhofen,AG,2207,3.25
Obermumpf,AG,1081,5.02
Oberried am Brienzersee,BE,481,20.12
Oberrieden,ZH,5392,2.79
Oberriet (SG),SG,9373,34.6
Oberrohrdorf,AG,4287,4.3
Oberrüti,AG,1630,5.38
Obersaxen Mundaun,GR,1160,70.36
Obersiggenthal,AG,8966,8.36
Oberthal,BE,706,10.54
Oberuzwil,SG,6743,14.08
Oberweningen,ZH,1905,4.94
Oberwil (BL),BL,11430,7.89
Oberwil bei Büren,BE,904,6.74
Oberwil im Simmental,BE,845,46.06
Oberwil-Lieli,AG,2627,5.35
Obfelden,ZH,5961,7.54
Ochlenberg,BE,536,12.12
Oensingen,SO,6817,12.1
Oeschenbach,BE,234,3.92
Oeschgen,AG,1185,4.38
Oetwil am See,ZH,5150,6.11
Oetwil an der Limmat,ZH,2573,2.77
Oftringen,AG,15120,12.85
Ogens,VD,341,3.4
Ollon,VD,8221,59.56
Olsberg,AG,360,4.61
Olten,SO,19051,11.49
Oltingen,BL,526,7.18
Onex,GE,18915,2.81
Onnens (VD),VD,513,5.16
Onsernone,TI,663,105.39
Opfikon,ZH,21554,5.59
Oppens,VD,202,3.6
Oppligen,BE,660,3.4
Orbe,VD,7978,12.05
Orges,VD,424,4.02
Origlio,TI,1526,2.08
Ormalingen,BL,2375,6.93
Ormont-Dessous,VD,1242,64.11
Ormont-Dessus,VD,1433,61.61
Orny,VD,497,5.55
Oron,VD,6341,26.28
Orpund,BE,3373,3.97
Orselina,TI,687,1.94
Orsières,VS,3303,164.93
Orvin,BE,1260,21.59
Orzens,VD,214,4.2
Ossingen,ZH,1835,13.09
Ostermundigen,BE,18326,5.96
Otelfingen,ZH,2924,7.15
Othmarsingen,AG,3168,4.72
Ottenbach,ZH,2973,5.02
Oulens-sous-Echallens,VD,603,5.87
Pailly,VD,575,5.77
Paradiso,TI,4853,0.89
Paudex,VD,1509,0.48
Payerne,VD,10758,24.18
Penthalaz,VD,3169,3.87
Penthaz,VD,1945,3.84
Penthéréaz,VD,430,5.68
Perly-Certoux,GE,3304,2.54
Perrefitte,BE,480,8.57
Perroy,VD,1584,2.92
Personico,TI,317,38.87
Péry-La Heutte,BE,1976,23.78
Petit-Val,BE,484,23.9
Pfäfers,SG,1624,128.46
Pfäffikon,ZH,12750,19.52
Pfaffnau,LU,2777,17.68
Pfeffingen,BL,2413,4.89
Pfungen,ZH,4150,4.99
Pfyn,TG,2259,13.14
Pierrafortscha,FR,150,5.06
Pieterlen,BE,5216,8.35
Plaffeien,FR,3693,66.51
Plan-les-Ouates,GE,12186,5.85
Plasselb,FR,1088,18.16
Plateau de Diesse,BE,2157,25.55
Pleigne,JU,365,17.84
Pohlern,BE,247,9.87
Poliez-Pittet,VD,850,5.01
Pollegio,TI,920,5.96
Pompaples,VD,932,4.44
Pomy,VD,876,5.62
Pont-en-Ogoz,FR,2038,10.16
Pont-la-Ville,FR,606,4.36
Ponte Capriasca,TI,1958,6.17
Pontresina,GR,2072,118.18
Porrentruy,JU,6574,14.76
Port,BE,3904,2.46
Port-Valais,VS,4551,14.35
Porza,TI,1717,1.56
Poschiavo,GR,3505,191.01
Prangins,VD,4271,6.08
Pratteln,BL,16576,10.71
Pregny-Chambésy,GE,4262,3.24
Premier,VD,228,6.12
Presinge,GE,708,4.71
Préverenges,VD,5260,1.87
Prévondavaux,FR,113,1.82
Prévonloup,VD,230,1.84
Prez,FR,2465,16.05
Prilly,VD,12758,2.2
Provence,VD,409,31.86
Puidoux,VD,2974,22.86
Pully,VD,19538,5.86
Puplinge,GE,2628,2.67
Pura,TI,1355,3.04
Quarten,SG,3105,61.77
Quinto,TI,1302,92.03
Radelfingen,BE,1285,14.71
Rafz,ZH,4769,10.68
Rain,LU,3314,9.42
Ramlinsburg,BL,732,2.25
Ramsen,SH,1655,13.5
Rances,VD,509,9.83
Randa,VS,468,54.53
Raperswilen,TG,421,7.68
Rapperswil (BE),BE,2705,22.58
Rapperswil-Jona,SG,28779,22.26
Raron,VS,2024,30.38
Realp,UR,149,77.84
Rebévelier,BE,32,3.55
Rebstein,SG,5077,4.39
Recherswil,SO,2202,3.36
Rechthalten,FR,1165,7.3
Reconvilier,BE,2506,8.25
Regensberg,ZH,478,2.37
Regensdorf,ZH,20282,14.62
Rehetobel,AR,1714,6.72
Reichenbach im Kandertal,BE,3792,125.76
Reichenburg,SZ,4153,11.55
Reiden,LU,7674,27.03
Reigoldswil,BL,1593,9.25
Reinach (AG),AG,9634,9.47
Reinach (BL),BL,20690,6.97
Reisiswil,BE,178,2.01
Reitnau,AG,1621,8.02
Remaufens,FR,1427,5.91
Remetschwil,AG,2096,3.88
Remigen,AG,1380,7.87
Renan (BE),BE,957,12.63
Renens (VD),VD,21541,2.95
Rennaz,VD,949,2.19
Reute (AR),AR,703,4.99
Reutigen,BE,1393,13.75
Rhäzüns,GR,1612,13.37
Rheinau,ZH,1321,8.95
Rheineck,SG,3514,2.21
Rheinfelden,AG,13820,16.02
Rheinwald,GR,570,136.81
Riaz,FR,2932,7.75
Richterswil,ZH,14378,7.53
Rickenbach (BL),BL,570,2.9
Rickenbach (LU),LU,3884,11.85
Rickenbach (SO),SO,1211,2.76
Rickenbach (TG),TG,3061,1.58
Rickenbach (ZH),ZH,2850,6.02
Riddes,VS,3749,23.9
Ried bei Kerzers,FR,1237,7.55
Ried-Brig,VS,2310,47.57
Riederalp,VS,440,19.09
Riedholz,SO,2310,7.15
Riehen,BS,22534,10.87
Riemenstalden,SZ,85,11.2
Rifferswil,ZH,1180,6.51
Riggisberg,BE,3184,34.5
Ringgenberg (BE),BE,2655,8.88
Riniken,AG,1568,4.76
Risch,ZG,11674,14.86
Riva San Vitale,TI,2695,6.05
Rivaz,VD,329,0.31
Riviera,TI,4269,86.53
Roche (VD),VD,1994,6.45
Rochefort,NE,1354,25.85
Roches (BE),BE,191,9.06
Rodersdorf,SO,1408,5.35
Roggenburg,BL,246,6.67
Roggliswil,LU,791,6.21
Roggwil (BE),BE,4432,7.84
Roggwil (TG),TG,3452,12.03
Rohrbach,BE,1599,4.08
Rohrbachgraben,BE,375,6.46
Rolle,VD,6540,2.75
Romainmôtier-Envy,VD,560,6.98
Romanel-sur-Lausanne,VD,4321,2.88
Romanel-sur-Morges,VD,454,1.76
Romanshorn,TG,11945,8.73
Römerswil,LU,1788,16.6
Romont (BE),BE,232,7.02
Romont (FR),FR,6124,10.89
Romoos,LU,661,37.39
Ronco sopra Ascona,TI,522,5.01
Rongellen,GR,59,2.02
Root,LU,6064,9.9
Ropraz,VD,530,4.81
Rorbas,ZH,3008,4.44
Rorschach,SG,10274,1.78
Rorschacherberg,SG,7716,7.09
Röschenz,BL,1941,10.07
Rossa,GR,168,58.89
Rossemaison,JU,740,1.89
Rossenges,VD,91,1.08
Rossinière,VD,499,23.36
Röthenbach im Emmental,BE,1200,36.79
Rothenbrunnen,GR,304,3.11
Rothenburg,LU,7863,15.49
Rothenfluh,BL,809,10.95
Rothenthurm,SZ,2595,22.75
Rothrist,AG,9896,11.85
Rottenschwil,AG,960,4.49
Rougemont,VD,813,48.54
Roveredo (GR),GR,2656,38.8
Rovray,VD,194,3.2
Rubigen,BE,2894,6.92
Rüderswil,BE,2390,17.21
Rüdlingen,SH,815,5.51
Rudolfstetten-Friedlisberg,AG,4644,4.9
Rüdtligen-Alchenflüh,BE,2490,2.72
Rue,FR,2638,20.03
Rüeggisberg,BE,1745,35.8
Rüegsau,BE,3295,15.06
Rueyres,VD,304,2
Rüfenach,AG,888,4.17
Rumendingen,BE,91,2.44
Rumisberg,BE,493,5.14
Rümlang,ZH,8243,12.41
Rümlingen,BL,438,2.28
Rünenberg,BL,794,4.97
Rupperswil,AG,6229,6.22
Rüschegg,BE,1738,57.29
Rüschlikon,ZH,6406,2.93
Russikon,ZH,4634,14.21
Russin,GE,543,4.91
Ruswil,LU,7541,45.25
Rüthi (SG),SG,2633,9.33
Rüti (ZH),ZH,12971,10.06
Rüti bei Büren,BE,870,6.5
Rüti bei Lyssach,BE,163,1.29
Rütschelen,BE,582,3.98
Rüttenen,SO,1532,8.77
S-chanf,GR,713,138.03
Saanen,BE,6924,120.06
Saas-Almagell,VS,385,110.38
Saas-Balen,VS,341,30.2
Saas-Fee,VS,1638,40.34
Saas-Grund,VS,1057,24.8
Sachseln,OW,5299,53.88
Safenwil,AG,4630,5.99
Safiental,GR,964,151.42
Safnern,BE,2057,5.62
Sagogn,GR,769,6.92
Saicourt,BE,644,13.77
Saignelégier,JU,2531,31.67
Saillon,VS,3156,13.74
Saint-Aubin (FR),FR,2030,7.89
Saint-Barthélemy (VD),VD,834,4.12
Saint-Brais,JU,237,15.16
Saint-Cergue,VD,3009,24.28
Saint-George,VD,1081,12.31
Saint-Gingolph,VS,1088,14.45
Saint-Imier,BE,5177,20.87
Saint-Léonard,VS,2628,3.88
Saint-Livres,VD,715,8.12
Saint-Martin (FR),FR,1043,9.78
Saint-Martin (VS),VS,853,37
Saint-Maurice,VS,4623,14.92
Saint-Oyens,VD,457,3.06
Saint-Prex,VD,5865,5.53
Saint-Saphorin (Lavaux),VD,387,0.88
Saint-Sulpice (VD),VD,5155,1.86
Sainte-Croix,VD,5139,39.47
Salenstein,TG,1454,6.54
Sâles,FR,1467,18.82
Salgesch,VS,1732,11.25
Salmsach,TG,1631,2.71
Salvan,VS,1495,53.46
Samedan,GR,2901,113.79
Samnaun,GR,750,56.28
San Vittore,GR,961,22.06
Sant’Antonino,TI,2671,6.55
Santa Maria in Calanca,GR,113,9.31
Sargans,SG,6615,9.46
Sarmenstorf,AG,3182,8.3
Sarnen,OW,10862,73.12
Satigny,GE,4713,18.92
Sattel,SZ,2066,17.39
Saubraz,VD,447,3.71
Sauge,BE,829,13.46
Saulcy,JU,277,7.86
Saules (BE),BE,148,4.28
Savièse,VS,8278,70.98
Savigny,VD,3517,16.01
Savosa,TI,2276,0.74
Saxeten,BE,98,19.38
Saxon,VS,7424,23.22
Schaffhausen,SH,38964,41.85
Schafisheim,AG,3155,6.33
Schangnau,BE,924,36.48
Schänis,SG,4172,39.9
Scharans,GR,836,14.29
Schattdorf,UR,5501,16.33
Schattenhalb,BE,586,31.54
Schelten,BE,33,5.56
Schenkon,LU,3117,6.74
Scheuren,BE,535,2.11
Schiers,GR,2993,61.66
Schinznach,AG,2462,12.24
Schlatt (TG),TG,1887,15.54
Schlatt (ZH),ZH,785,8.97
Schlatt-Haslen,AI,1119,17.93
Schleinikon,ZH,868,5.68
Schleitheim,SH,1845,21.63
Schlierbach,LU,1008,7.17
Schlieren,ZH,20391,6.59
Schlossrued,AG,893,7.25
Schluein,GR,616,4.79
Schmerikon,SG,4150,4.15
Schmiedrued,AG,1160,8.65
Schmitten (FR),FR,4285,13.49
Schmitten (GR),GR,205,11.35
Schneisingen,AG,1564,8.26
Schnottwil,SO,1176,7.17
Schöfflisdorf,ZH,1412,4.01
Schöftland,AG,4608,6.28
Schönenbuch,BL,1494,1.35
Schönengrund,AR,557,5.19
Schönenwerd,SO,5337,3.71
Schongau,LU,1069,12.43
Schönholzerswilen,TG,867,10.93
Schötz,LU,4964,15.27
Schübelbach,SZ,9757,29.01
Schupfart,AG,883,7.05
Schüpfen,BE,3784,19.84
Schüpfheim,LU,4281,38.38
Schwaderloch,AG,728,2.77
Schwadernau,BE,690,4.15
Schwanden bei Brienz,BE,668,7.06
Schwarzenberg,LU,1817,39.3
Schwarzenburg,BE,6795,44.8
Schwarzhäusern,BE,519,3.79
Schwellbrunn,AR,1556,17.42
